head,relation,tail
浓度对化学反应速率的影响实验,verifies,硫代硫酸钠与硫酸反应
温度对化学反应速率的影响实验,verifies,硫代硫酸钠与硫酸反应
催化剂对化学反应速率的影响实验,verifies,过氧化氢的分解反应
甲烷,is_a,有机化合物
烷烃,is_a,有机化合物
甲烷,is_a,烷烃
碳原子的成键特点,relates_to,碳链和碳环（碳骨架）
碳原子的成键特点,relates_to,有机化合物的多样性
有机化合物,relates_to,有机化合物的多样性
有机化合物,relates_to,有机化合物的分类依据
有机化合物的分类依据,relates_to,特征基团
烷烃,relates_to,有机物的通性
烷烃的燃烧反应,relates_to,有机物的通性
有机化合物,relates_to,有机物的通性
取代反应,relates_to,甲烷与氯气的取代反应
甲烷与氯气的取代反应,relates_to,一氯甲烷及其同系列氯代甲烷
碳原子的成键特点,prerequisites_for,有机化合物
碳原子的成键特点,prerequisites_for,烷烃
碳链和碳环（碳骨架）,prerequisites_for,有机化合物的多样性
甲烷,prerequisites_for,烷烃
烷烃,prerequisites_for,烷烃的燃烧反应
烷烃,prerequisites_for,烷烃的热分解
取代反应,prerequisites_for,甲烷与氯气的取代反应
分子结构模型,prerequisites_for,甲烷的空间结构
有机化合物,relates_to,燃烧爆炸危险性（甲烷）
用结构式和电子式表示有机物结构,prerequisites_for,甲烷的空间结构
利用分子结构模型认识空间结构,prerequisites_for,甲烷的空间结构
从组成推断有机物物理性质变化趋势,prerequisites_for,烷烃的物理性质变化规律
书写并配平有机物燃烧方程式,prerequisites_for,烷烃的燃烧反应
根据反应现象判断反应类型,prerequisites_for,取代反应
甲烷与氯气在不同光照条件下的反应比较实验,verifies,甲烷与氯气的取代反应
甲烷与氯气在不同光照条件下的反应比较实验,verifies,取代反应
乙烯,is_a,烯烃
烯烃,is_a,不饱和烃
炔烃,is_a,不饱和烃
芳香烃,is_a,不饱和烃
不饱和烃,is_a,碳氢化合物（烃）
饱和烃（烷烃）,is_a,碳氢化合物（烃）
芳香烃,is_a,碳氢化合物（烃）
塑料,is_a,有机高分子材料
橡胶及硫化橡胶,is_a,有机高分子材料
纤维与化学纤维,is_a,有机高分子材料
黏合剂,is_a,有机高分子材料
涂料,is_a,有机高分子材料
聚乙烯,is_a,塑料
聚合物,is_a,有机高分子材料
乙烯,relates_to,乙烯的物理性质与结构特点
乙烯,relates_to,乙烯的加成反应
乙烯,relates_to,乙烯的氧化反应
乙烯,relates_to,聚合反应
加成反应,relates_to,聚合反应
加成聚合反应（加聚反应）,relates_to,聚合反应
加成聚合反应（加聚反应）,relates_to,加成反应
聚乙烯,relates_to,链节与聚合度
单体,relates_to,聚乙烯
单体,relates_to,橡胶及硫化橡胶
单体,relates_to,聚丙烯及聚氯乙烯等典型聚合物
碳氢化合物（烃）,relates_to,链状烃和环状烃
苯及苯环结构,relates_to,芳香烃
乙烯的物理性质与结构特点,prerequisites_for,乙烯的氧化反应
乙烯的物理性质与结构特点,prerequisites_for,乙烯的加成反应
加成反应,prerequisites_for,加成聚合反应（加聚反应）
聚合反应,prerequisites_for,加成聚合反应（加聚反应）
单体,prerequisites_for,聚合反应
聚合反应,prerequisites_for,有机高分子材料
碳氢化合物（烃）,prerequisites_for,乙烯
碳氢化合物（烃）,prerequisites_for,不饱和烃
碳氢化合物（烃）,prerequisites_for,饱和烃（烷烃）
乙烯,prerequisites_for,聚乙烯
实验7-2 乙烯的氧化反应,verifies,乙烯的氧化反应
实验7-3 乙烯与溴的加成反应,verifies,加成反应
实验7-3 乙烯与溴的加成反应,verifies,乙烯的加成反应
烃的分子结构探究活动,verifies,链状烃和环状烃
乙醇,is_a,烃的衍生物
乙醇,is_a,醇类
乙酸,is_a,烃的衍生物
乙酸,is_a,羧酸类
乙酸乙酯,is_a,酯类
醇类,is_a,烃的衍生物
羧酸类,is_a,烃的衍生物
酯类,is_a,烃的衍生物
烯烃的碳碳双键,is_a,官能团
炔烃的碳碳三键,is_a,官能团
卤代烃的碳卤键,is_a,官能团
羧基,is_a,官能团
羟基,is_a,官能团
酯基,is_a,官能团
醛基,is_a,官能团
官能团,prerequisites_for,有机化合物的分类
官能团,prerequisites_for,根据官能团分类有机物
官能团,prerequisites_for,从结构推性质的有机物认知方法
羟基,prerequisites_for,乙醇与钠的反应
羟基,prerequisites_for,乙醇
羧基,prerequisites_for,乙酸的酸性
乙酸,prerequisites_for,酯化反应
乙醇,prerequisites_for,酯化反应
酯化反应,prerequisites_for,乙酸乙酯
羟基,prerequisites_for,乙醇的燃烧反应
羟基,prerequisites_for,乙醇的催化氧化
乙醇与钠反应（实验7-4）,prerequisites_for,乙醇与钠的反应
乙醇的催化氧化（实验7-5）,prerequisites_for,乙醇的催化氧化
乙酸与乙醇的酯化反应（实验7-6）,prerequisites_for,酯化反应
乙醇与钠反应（实验7-4）,verifies,乙醇与钠的反应
乙醇的催化氧化（实验7-5）,verifies,乙醇的催化氧化
乙酸与乙醇的酯化反应（实验7-6）,verifies,酯化反应
乙醇,relates_to,乙酸
乙醇,relates_to,乙酸乙酯
乙酸,relates_to,乙酸乙酯
官能团,relates_to,有机化合物的分类
酯化反应,relates_to,酯基
烃的衍生物,relates_to,烃基
糖类,is_a,基本营养物质
蛋白质,is_a,基本营养物质
油脂,is_a,基本营养物质
单糖,is_a,糖类
二糖,is_a,糖类
多糖,is_a,糖类
葡萄糖,is_a,单糖
蔗糖,is_a,二糖
淀粉,is_a,多糖
纤维素,is_a,多糖
氨基酸,is_a,基本营养物质
高级脂肪酸,is_a,油脂
饱和脂肪酸,is_a,高级脂肪酸
不饱和脂肪酸,is_a,高级脂肪酸
奶油,is_a,油脂
氢化植物油,is_a,油脂
人造奶油,is_a,油脂
糖类,prerequisites_for,糖的水解反应
葡萄糖,prerequisites_for,葡萄糖的特征反应
葡萄糖,prerequisites_for,发酵生成乙醇的反应
氨基酸,prerequisites_for,多肽
多肽,prerequisites_for,蛋白质
蛋白质的水解反应,prerequisites_for,蛋白质的生理作用
高级脂肪酸,prerequisites_for,油脂的加成氢化反应
油脂,prerequisites_for,皂化反应
油脂,prerequisites_for,油脂的生理作用
糖类,prerequisites_for,糖的生理作用
从结构推断有机物性质与用途,prerequisites_for,分析营养物质在人体内的转化过程
实验7-7：葡萄糖与Cu(OH)2和银氨溶液的反应,verifies,葡萄糖的特征反应
实验7-8：淀粉的检验和水解产物的检验,verifies,糖的水解反应
实验7-9：蛋白质性质的探究,verifies,蛋白质的变性
单糖,relates_to,二糖
单糖,relates_to,多糖
葡萄糖,relates_to,淀粉
葡萄糖,relates_to,纤维素
葡萄糖,relates_to,发酵生成乙醇的反应
饱和脂肪酸,relates_to,油脂
不饱和脂肪酸,relates_to,油脂
油脂,relates_to,油脂的氧化变质
奶油,relates_to,氢化植物油
奶油,relates_to,人造奶油
营养师,relates_to,基本营养物质
利用特征反应检验有机物,prerequisites_for,实验7-7：葡萄糖与Cu(OH)2和银氨溶液的反应
利用特征反应检验有机物,prerequisites_for,实验7-8：淀粉的检验和水解产物的检验
甲烷分子结构,is_a,有机化合物分子结构
乙烷分子结构,is_a,有机化合物分子结构
乙烯分子结构,is_a,有机化合物分子结构
乙炔分子结构,is_a,有机化合物分子结构
球棍模型,prerequisites_for,有机化合物分子结构
结构式,prerequisites_for,分子空间结构
分子空间结构,prerequisites_for,结构式与分子空间结构的关系
碳原子的成键特征,prerequisites_for,烃分子中的化学键类型
烃分子中的化学键类型,prerequisites_for,含4个碳原子的烃的结构多样性
结构式与分子空间结构的关系,prerequisites_for,同分异构体
使用模型研究物质结构,prerequisites_for,从结构式推测分子空间结构
使用模型研究物质结构,prerequisites_for,归纳碳原子的成键特征和烃中键类型
搭建甲烷分子的球棍模型,verifies,碳原子的成键特征
搭建乙烷、乙烯和乙炔分子的球棍模型并比较空间结构,verifies,烃分子中的化学键类型
利用球棍模型验证二氯甲烷是否有同分异构体,verifies,结构式与分子空间结构的关系
利用球棍模型验证二氯甲烷是否有同分异构体,verifies,同分异构体
用球棍模型探究含4个碳原子的烃的结构种类,verifies,含4个碳原子的烃的结构多样性
球棍模型,relates_to,分子空间结构
结构式,relates_to,结构式与分子空间结构的关系
碳原子的成键特征,relates_to,有机化合物分子结构
烃分子中的化学键类型,relates_to,有机化合物分子结构
同分异构体,relates_to,含4个碳原子的烃的结构多样性
乙醇的物理性质,is_a,有机化合物的实验制备方法
乙酸的物理性质,is_a,有机化合物的实验制备方法
乙酸的酸性及酸的通性,is_a,有机化合物的实验制备方法
乙酸乙酯的制备（酯化反应）,is_a,有机化合物的实验制备方法
乙醇的燃烧,relates_to,乙醇的氧化生成乙醛
乙酸的酸性及酸的通性,relates_to,乙酸与碳酸酸性强弱比较
乙酸乙酯的制备（酯化反应）,relates_to,浓硫酸在酯化反应中的作用
乙酸乙酯的制备（酯化反应）,relates_to,饱和Na2CO3溶液在酯化后处理中的作用
乙醇的燃烧,relates_to,有机化合物的实验制备方法
乙醇的物理性质,prerequisites_for,观察乙醇的物理性质
乙醇的燃烧,prerequisites_for,乙醇的燃烧产物验证实验
乙醇的氧化生成乙醛,prerequisites_for,乙醇被氧化生成乙醛实验
乙酸的物理性质,prerequisites_for,观察乙酸的物理性质
乙酸的酸性及酸的通性,prerequisites_for,乙酸酸性的验证及与碳酸酸性强弱比较
乙酸乙酯的制备（酯化反应）,prerequisites_for,制取乙酸乙酯并用Na2CO3溶液分层分离
浓硫酸在酯化反应中的作用,prerequisites_for,制取乙酸乙酯并用Na2CO3溶液分层分离
饱和Na2CO3溶液在酯化后处理中的作用,prerequisites_for,制取乙酸乙酯并用Na2CO3溶液分层分离
设计化学实验验证物质性质,prerequisites_for,乙醇的燃烧产物验证实验
设计化学实验验证物质性质,prerequisites_for,乙酸酸性的验证及与碳酸酸性强弱比较
分析实验现象推断反应类型和产物,prerequisites_for,乙醇被氧化生成乙醛实验
分析实验现象推断反应类型和产物,prerequisites_for,制取乙酸乙酯并用Na2CO3溶液分层分离
书写有机反应的化学方程式,prerequisites_for,乙醇的燃烧
书写有机反应的化学方程式,prerequisites_for,乙醇的氧化生成乙醛
书写有机反应的化学方程式,prerequisites_for,乙酸乙酯的制备（酯化反应）
观察乙醇的物理性质,verifies,乙醇的物理性质
乙醇的燃烧产物验证实验,verifies,乙醇的燃烧
乙醇被氧化生成乙醛实验,verifies,乙醇的氧化生成乙醛
观察乙酸的物理性质,verifies,乙酸的物理性质
乙酸酸性的验证及与碳酸酸性强弱比较,verifies,乙酸的酸性及酸的通性
制取乙酸乙酯并用Na2CO3溶液分层分离,verifies,乙酸乙酯的制备（酯化反应）
金属矿物,is_a,自然资源
海水资源,is_a,自然资源
化石燃料,is_a,自然资源
生物质资源,is_a,自然资源
自然资源,relates_to,可持续发展
金属活泼性,prerequisites_for,金属冶炼
热分解法冶炼金属,is_a,金属冶炼
电解法冶炼金属,is_a,金属冶炼
焦炭、一氧化碳、氢气等还原剂冶炼金属,is_a,金属冶炼
铝热反应,relates_to,焦炭、一氧化碳、氢气等还原剂冶炼金属
金属腐蚀,relates_to,金属资源的合理开发与利用
金属冶炼,prerequisites_for,金属资源的合理开发与利用
海水资源,prerequisites_for,海水的综合利用
海水淡化,is_a,海水的综合利用
海水制盐及化工原料生产,is_a,海水的综合利用
蒸馏法海水淡化,is_a,海水淡化
反渗透法海水淡化,is_a,海水淡化
电渗析法海水淡化,is_a,海水淡化
海水中的化学元素组成,relates_to,海水的综合利用
化石燃料,is_a,可持续发展
煤的组成,prerequisites_for,煤的干馏（焦化）
煤的干馏（焦化）,is_a,化石燃料
煤的气化,is_a,化石燃料
煤的液化,is_a,化石燃料
煤的干馏（焦化）,relates_to,煤干馏产物及用途
煤的气化,relates_to,煤的液化
化石燃料,relates_to,化石燃料利用的环境问题
天然气,relates_to,甲烷的化工利用
天然气水合物（可燃冰）,is_a,化石燃料
天然气水合物（可燃冰）,relates_to,天然气水合物的环境与地质影响
石油的分馏,is_a,石油
石油的催化裂化,is_a,石油
石油裂解（热裂解）,is_a,石油
石油的分馏,relates_to,石油的催化裂化
石油的催化裂化,relates_to,石油裂解（热裂解）
石油裂解（热裂解）,relates_to,石油化工基本原料
石油化工基本原料,relates_to,合成高分子材料
合成高分子材料,relates_to,化石燃料利用的环境问题
生物质资源,relates_to,生物质资源的利用
生物质资源的利用,relates_to,绿色可持续化工生产路线
绿色可持续化工生产路线,relates_to,可持续发展
金属活泼性,prerequisites_for,根据金属活泼性选择冶炼方法
金属冶炼,prerequisites_for,根据金属活泼性选择冶炼方法
自然资源,prerequisites_for,分析资源开发利用与环境、可持续发展的关系
可持续发展,prerequisites_for,分析资源开发利用与环境、可持续发展的关系
化石燃料,prerequisites_for,分析资源开发利用与环境、可持续发展的关系
石油,prerequisites_for,从组成和物理性质推断分离与利用方法
海水资源,prerequisites_for,从组成和物理性质推断分离与利用方法
氧化汞的热分解制备汞和氧气,verifies,热分解法冶炼金属
大宗化学品,is_a,化学品
精细化学品,is_a,化学品
化肥,is_a,大宗化学品
农药,is_a,精细化学品
药物,is_a,精细化学品
食品添加剂,is_a,精细化学品
着色剂,is_a,食品添加剂
增味剂,is_a,食品添加剂
膨松剂,is_a,食品添加剂
凝固剂,is_a,食品添加剂
防腐剂,is_a,食品添加剂
抗氧化剂（食品）,is_a,食品添加剂
营养强化剂,is_a,食品添加剂
化学品的合理使用,relates_to,化肥
化学品的合理使用,relates_to,农药
化肥,prerequisites_for,化肥合理施用
农药,prerequisites_for,农药合理施用
化肥合理施用,relates_to,水体富营养化
农药合理施用,relates_to,农药残留
农药,relates_to,抗药性
DDT（滴滴涕）,is_a,农药
DDT（滴滴涕）,relates_to,持久性有机污染物
DDT（滴滴涕）,relates_to,抗药性
药物,relates_to,药物分子结构与生物活性
处方药与非处方药,relates_to,化学品的合理使用
阿司匹林,relates_to,天然药物与合成药物
阿司匹林,relates_to,缓释药物
青蒿素及其衍生物,relates_to,药物分子结构与生物活性
缓释药物,relates_to,精细化学品
食品添加剂,relates_to,食品添加剂安全使用原则
食品添加剂,relates_to,食品添加剂的使用条件
凝固剂,relates_to,豆腐的制作原理
豆腐的传统制作实验,verifies,豆腐的制作原理
碳酸钠与碳酸氢钠性质比较实验,verifies,膨松剂
化学品安全阅读与执行说明,prerequisites_for,化学品的合理使用
合理施用化肥和农药的决策分析,prerequisites_for,化肥合理施用
合理施用化肥和农药的决策分析,prerequisites_for,农药合理施用
药物设计与结构修饰思维,prerequisites_for,青蒿素及其衍生物
药物分子结构与生物活性,prerequisites_for,药物设计与结构修饰思维
处方药与非处方药,prerequisites_for,合理用药与用量用时判断
食品添加剂,prerequisites_for,食品添加剂功能分类与安全评估
膨松剂,prerequisites_for,简单无机盐性质比较实验设计
碳酸钠与碳酸氢钠性质比较实验,verifies,农药
环境问题,is_a,环境污染
三废,is_a,环境污染
大气污染,is_a,环境污染
污水,is_a,环境污染
固体废物处理原则,is_a,污染治理
无害化,is_a,固体废物处理原则
减量化,is_a,固体废物处理原则
资源化,is_a,固体废物处理原则
环境质量监测,is_a,环境监测
化学分析方法,is_a,环境质量监测
环境质量监测,prerequisites_for,环境质量评价
环境质量监测,prerequisites_for,污染治理
环境监测,prerequisites_for,环境质量评价与治理决策数据
绿色化学,prerequisites_for,可持续发展
化学分析方法,prerequisites_for,利用化学分析方法监测环境污染物
污水,prerequisites_for,根据污染物性质选择污水处理方法
原子经济性反应,prerequisites_for,用原子经济性评价化学反应的绿色程度
环境质量监测,prerequisites_for,进行环境质量评价与提出治理方案
地球生态系统,relates_to,环境问题
三废,relates_to,污水处理
次生污染物,relates_to,大气污染
次生污染物,relates_to,酸雨
次生污染物,relates_to,雾霾
次生污染物,relates_to,光化学烟雾
化学法污水处理,relates_to,混凝剂
化学法污水处理,relates_to,污水处理
物理法污水处理,relates_to,污水处理
生物法污水处理,relates_to,污水处理
绿色化学,relates_to,先污染后治理观念
绿色化学,relates_to,原子经济性反应
原子经济性反应,relates_to,原子利用率
光合作用,relates_to,人工光合作用
人工光合作用,relates_to,绿色化学
环境保护工程师,relates_to,环境监测
环境保护工程师,relates_to,污染治理
化学分析方法,relates_to,PM10浓度
化学分析方法,relates_to,PM2.5浓度
化学分析方法,relates_to,臭氧浓度
农药残留检测,relates_to,环境质量监测
废弃物污染检测,relates_to,环境质量监测
污水混凝沉淀实验（示意）,verifies,混凝剂
污水混凝沉淀实验（示意）,verifies,物理法污水处理
第一节 硫及其化合物,is_part_of,第五章 化工生产中的重要非金属元素
第二节 氮及其化合物,is_part_of,第五章 化工生产中的重要非金属元素
第三节 无机非金属材料,is_part_of,第五章 化工生产中的重要非金属元素
第四节 实验活动4,is_part_of,第五章 化工生产中的重要非金属元素
实验活动5,is_part_of,第五章 化工生产中的重要非金属元素
第一节 化学反应与能量变化,is_part_of,第六章 化学反应与能量
第二节 化学反应的速率与限度,is_part_of,第六章 化学反应与能量
实验活动6 化学能转化成电能,is_part_of,第六章 化学反应与能量
实验活动7 化学反应速率的影响因素,is_part_of,第六章 化学反应与能量
第一节 认识有机化合物,is_part_of,第七章 有机化合物
第二节 乙烯与有机高分子材料,is_part_of,第七章 有机化合物
第三节 乙醇与乙酸,is_part_of,第七章 有机化合物
第四节 基本营养物质,is_part_of,第七章 有机化合物
实验活动8 搭建球棍模型认识有机化合物分子结构的特点,is_part_of,第七章 有机化合物
实验活动9 乙醇、乙酸的主要性质,is_part_of,第七章 有机化合物
第一节 自然资源的开发利用,is_part_of,第八章 化学与可持续发展
第二节 化学品的合理使用,is_part_of,第八章 化学与可持续发展
第三节 环境保护与绿色化学,is_part_of,第八章 化学与可持续发展
第五章 化工生产中的重要非金属元素,is_part_of,必修二
第六章 化学反应与能量,is_part_of,必修二
第七章 有机化合物,is_part_of,必修二
第八章 化学与可持续发展,is_part_of,必修二
硫元素,appears_in,第一节 硫及其化合物
硫单质的物理性质,appears_in,第一节 硫及其化合物
硫单质的化学性质,appears_in,第一节 硫及其化合物
二氧化硫,appears_in,第一节 硫及其化合物
亚硫酸,appears_in,第一节 硫及其化合物
酸性氧化物,appears_in,第一节 硫及其化合物
可逆反应,appears_in,第一节 硫及其化合物
氧化性和还原性（以二氧化硫为例）,appears_in,第一节 硫及其化合物
二氧化硫的漂白作用,appears_in,第一节 硫及其化合物
硫酸,appears_in,第一节 硫及其化合物
浓硫酸的吸水性,appears_in,第一节 硫及其化合物
浓硫酸的脱水性,appears_in,第一节 硫及其化合物
浓硫酸的氧化性,appears_in,第一节 硫及其化合物
硫酸的腐蚀性和安全性,appears_in,第一节 硫及其化合物
硫酸盐,appears_in,第一节 硫及其化合物
硫酸钙及石膏,appears_in,第一节 硫及其化合物
硫酸钡及钡餐,appears_in,第一节 硫及其化合物
硫酸铜及胆矾,appears_in,第一节 硫及其化合物
硫酸根离子 SO4^{2-},appears_in,第一节 硫及其化合物
硫酸根离子的检验原理,appears_in,第一节 硫及其化合物
碳酸根离子 CO3^{2-} 的干扰,appears_in,第一节 硫及其化合物
含硫物质的价态与氧化还原转化,appears_in,第一节 硫及其化合物
常用氧化剂与还原剂（本章范围）,appears_in,第一节 硫及其化合物
硫在自然界的循环,appears_in,第一节 硫及其化合物
食品中二氧化硫的作用与安全限量,appears_in,第一节 硫及其化合物
可溶性钡化合物的毒性,appears_in,第一节 硫及其化合物
硫氧化物与酸雨,appears_in,第一节 硫及其化合物
化学方程式与离子方程式书写,appears_in,第一节 硫及其化合物
可逆反应的识别与表示,appears_in,第一节 硫及其化合物
氧化还原反应中氧化性和还原性的判断,appears_in,第一节 硫及其化合物
酸碱性和酸性氧化物的判断,appears_in,第一节 硫及其化合物
离子检验与排除干扰,appears_in,第一节 硫及其化合物
化学实验设计,appears_in,第一节 硫及其化合物
化学计算（物质的量、质量和体积）,appears_in,第一节 硫及其化合物
二氧化硫溶于水及酸性检验（实验5-1）,appears_in,第一节 硫及其化合物
二氧化硫的漂白作用（实验5-2）,appears_in,第一节 硫及其化合物
浓硫酸与铜的反应（实验5-3）,appears_in,第一节 硫及其化合物
硫酸根离子的检验（实验5-4）,appears_in,第一节 硫及其化合物
"下列物质中的硫元素不能表现出氧化性的是（ ）。
A. Na2S  B. S  C. SO2  D. H2SO4",appears_in,第一节 硫及其化合物
"下列关于SO2的叙述正确的是（ ）。
A. SO2是无色、无臭、有毒的气体
B. SO2与NaOH溶液反应生成Na2SO4
C. SO2能使紫色的KMnO4溶液褪色
D. SO2有毒，不能用作食品添加剂",appears_in,第一节 硫及其化合物
"下列事实与括号中浓硫酸的性质对应关系正确的是（ ）。
A. 空气中敞口久置的浓硫酸质量增大（挥发性）
B. 浓硫酸在加热条件下与铜反应（脱水性）
C. 用浓硫酸在纸上书写的字迹变黑（氧化性）
D. 浓硫酸可用来干燥某些气体（吸水性）",appears_in,第一节 硫及其化合物
氮元素,appears_in,第二节 氮及其化合物
氮原子共价三键结构,appears_in,第二节 氮及其化合物
氮气的化学性质,appears_in,第二节 氮及其化合物
氮的固定,appears_in,第二节 氮及其化合物
自然固氮,appears_in,第二节 氮及其化合物
人工固氮,appears_in,第二节 氮及其化合物
工业合成氨,appears_in,第二节 氮及其化合物
一氧化氮,appears_in,第二节 氮及其化合物
二氧化氮,appears_in,第二节 氮及其化合物
硝酸的生产原理,appears_in,第二节 氮及其化合物
氨的物理性质,appears_in,第二节 氮及其化合物
氨的溶解性及水合氨,appears_in,第二节 氮及其化合物
氨水的碱性,appears_in,第二节 氮及其化合物
氨与酸反应生成铵盐,appears_in,第二节 氮及其化合物
氨的还原性及催化氧化,appears_in,第二节 氮及其化合物
铵盐的性质,appears_in,第二节 氮及其化合物
硝酸的物理性质和分解,appears_in,第二节 氮及其化合物
硝酸的氧化性,appears_in,第二节 氮及其化合物
金属的钝化现象,appears_in,第二节 氮及其化合物
王水,appears_in,第二节 氮及其化合物
氮氧化物与二氧化硫的污染作用,appears_in,第二节 氮及其化合物
酸雨及其pH判定,appears_in,第二节 氮及其化合物
酸雨的危害,appears_in,第二节 氮及其化合物
工业废气的治理与资源利用,appears_in,第二节 氮及其化合物
氮在自然界的循环,appears_in,第二节 氮及其化合物
汽车尾气中NO的产生,appears_in,第二节 氮及其化合物
用pH判断溶液酸碱性及是否为酸雨,appears_in,第二节 氮及其化合物
根据气体溶解性和酸碱性设计检验与制取装置,appears_in,第二节 氮及其化合物
用沉淀反应区分溶液,appears_in,第二节 氮及其化合物
利用氧化还原反应分析产物化合价变化,appears_in,第二节 氮及其化合物
二氧化氮溶于水的实验（实验5-5）,appears_in,第二节 氮及其化合物
氨溶于水的喷泉实验（实验5-6）,appears_in,第二节 氮及其化合物
铵盐与NaOH反应产生氨（实验5-7）,appears_in,第二节 氮及其化合物
硝酸与铜反应（实验5-8）,appears_in,第二节 氮及其化合物
测定雨水的pH,appears_in,第二节 氮及其化合物
"下列关于 N₂ 的叙述错误的是（ ）。
A. N₂ 既可作氧化剂又可作还原剂
B. 在雷雨天, 空气中的 N₂ 与 O₂ 可反应生成 NO
C. 氮的固定是将 N₂ 转化成含氮的化合物
D. 1 mol N₂ 可与 3 mol H₂ 完全反应生成 2 mol NH₃",appears_in,第二节 氮及其化合物
"在 NO₂ 与水的反应中，（ ）。
A. 氮元素的化合价不发生变化
B. NO₂ 只是氧化剂
C. NO₂ 只是还原剂
D. NO₂ 既是氧化剂，又是还原剂",appears_in,第二节 氮及其化合物
"根据图5-11“氨溶于水的喷泉实验”装置图，以下说法不正确的是（ ）。
A. 该实验证明氨气极易溶于水
B. 烧瓶充满氯气, 胶头滴管和烧杯中加入浓碱液也可能形成喷泉
C. 红色喷泉说明氨水显碱性
D. 烧杯中换成其他液体无法形成喷泉",appears_in,第二节 氮及其化合物
通过测定某次降雨的pH值为4.5，判断该次降雨是否为酸雨，并说明理由。,appears_in,第二节 氮及其化合物
无机非金属材料,appears_in,第三节 无机非金属材料
硅酸盐材料,appears_in,第三节 无机非金属材料
硅氧四面体结构,appears_in,第三节 无机非金属材料
陶瓷,appears_in,第三节 无机非金属材料
玻璃,appears_in,第三节 无机非金属材料
水泥,appears_in,第三节 无机非金属材料
混凝土,appears_in,第三节 无机非金属材料
新型无机非金属材料,appears_in,第三节 无机非金属材料
硅,appears_in,第三节 无机非金属材料
二氧化硅,appears_in,第三节 无机非金属材料
高纯硅,appears_in,第三节 无机非金属材料
硅的半导体性能,appears_in,第三节 无机非金属材料
光导纤维,appears_in,第三节 无机非金属材料
碳化硅,appears_in,第三节 无机非金属材料
新型陶瓷,appears_in,第三节 无机非金属材料
高温结构陶瓷,appears_in,第三节 无机非金属材料
压电陶瓷,appears_in,第三节 无机非金属材料
透明陶瓷,appears_in,第三节 无机非金属材料
超导陶瓷,appears_in,第三节 无机非金属材料
碳纳米材料,appears_in,第三节 无机非金属材料
富勒烯,appears_in,第三节 无机非金属材料
碳纳米管,appears_in,第三节 无机非金属材料
石墨烯,appears_in,第三节 无机非金属材料
硅酸盐,appears_in,第三节 无机非金属材料
半导体材料,appears_in,第三节 无机非金属材料
高纯硅制备原理,appears_in,第三节 无机非金属材料
水玻璃,appears_in,第三节 无机非金属材料
氢氟酸与二氧化硅反应,appears_in,第三节 无机非金属材料
二氧化硅的酸性氧化物性质,appears_in,第三节 无机非金属材料
氮化硅,appears_in,第三节 无机非金属材料
根据元素周期律推测化合物化学式,appears_in,第三节 无机非金属材料
通过物质性质推断用途,appears_in,第三节 无机非金属材料
由反应文字信息写化学方程式,appears_in,第三节 无机非金属材料
识别与硅相关的日常用品,appears_in,第三节 无机非金属材料
氢氟酸溶蚀玻璃制备磨砂玻璃,appears_in,第三节 无机非金属材料
碱溶液对玻璃的腐蚀,appears_in,第三节 无机非金属材料
"1. 下列叙述错误的是（ ）。

A. 硅在自然界中主要以单质形式存在  
B. 硅是应用最广泛的半导体材料  
C. 高纯度的硅可用于制造计算机芯片  
D. 二氧化硅可用于生产玻璃",appears_in,第三节 无机非金属材料
3. 氢氟酸是 HF 的水溶液，可与 SiO2 发生反应生成 SiF4 和 H2O。请写出该反应的化学方程式。想一想为什么可以用氢氟酸溶蚀玻璃生产磨砂玻璃。,appears_in,第三节 无机非金属材料
4. SiO2 是一种酸性氧化物，能与强碱溶液反应。例如，SiO2 与 NaOH 反应可生成 Na2SiO3。Na2SiO3 的水溶液俗称水玻璃，具有黏结力强、耐高温等特性，可以用作黏合剂和防火剂。实验室盛放碱溶液的试剂瓶应使用橡胶塞，而不用玻璃塞。请解释原因，并写出相关反应的化学方程式。,appears_in,第三节 无机非金属材料
"5. 氮化硅是一种性能优异的无机非金属材料，它的熔点高，硬度大，电绝缘性好，化学性质稳定，但生产成本较高。

(1) 根据以上描述，推测氮化硅可能有哪些用途（填字母）。  
a. 制作坩埚  
b. 用作建筑陶瓷  
c. 制作耐高温轴承  
d. 制作切削刀具

(2) 请画出氮和硅的原子结构示意图，并根据元素周期律的知识，写出氮化硅的化学式。",appears_in,第三节 无机非金属材料
用化学沉淀法去除粗盐中的杂质离子,appears_in,第四节 实验活动4
化学沉淀法,appears_in,第四节 实验活动4
粗盐中的杂质离子,appears_in,第四节 实验活动4
精盐,appears_in,第四节 实验活动4
溶解、过滤、蒸发,appears_in,第四节 实验活动4
BaCl2 与 SO4^{2-} 的沉淀反应,appears_in,第四节 实验活动4
NaOH 与 Mg^{2+} 的沉淀反应,appears_in,第四节 实验活动4
Na2CO3 与 Ca^{2+}、Ba^{2+} 的沉淀反应,appears_in,第四节 实验活动4
检验离子是否沉淀完全,appears_in,第四节 实验活动4
试剂略微过量,appears_in,第四节 实验活动4
溶液酸碱性的调节与控制,appears_in,第四节 实验活动4
盐酸与碳酸盐（或氢氧化物）的反应,appears_in,第四节 实验活动4
物质的分离和提纯,appears_in,第四节 实验活动4
选择合适的沉淀剂和操作顺序,appears_in,第四节 实验活动4
判断沉淀是否生成完全,appears_in,第四节 实验活动4
